"cluster","n","median_pct_mt","mean_pct_mt","sd_pct_mt"
"0",2979,3.94102636801815,4.14453091536177,1.32275284031362
"1",2029,2.28855721393035,2.58939944345948,1.34183621653669
"10",414,3.12980813421827,3.77598898612843,2.33502465819504
"11",252,2.79801391159111,3.40000626991619,2.26657328970263
"12",190,3.90189212415673,4.74923400522592,2.61275187051281
"13",79,2.40727094080079,2.9594446168324,2.32363865624732
"14",75,2.53759398496241,2.84970120817817,1.61914726312064
"15",17,0.0615006150061501,0.294277138918216,0.714999645951748
"2",1767,3.69634340222576,4.15385228343402,2.07432441004987
"3",1481,2.52864480442513,2.84513587358712,1.36359857609682
"4",1346,2.15706835755428,2.83271472219138,2.22098463394598
"5",1084,2.90085176462255,3.22550437566226,1.48704171150115
"6",970,2.84674218378985,4.00103177362903,3.22824155860843
"7",739,8.49609375,8.29209079402959,3.59275511515826
"8",640,3.35004303508372,3.67853321140353,1.94365766802134
"9",488,6.71553905804741,7.12772608600443,3.7125153223037
