"score","med_dx","med_ref","cliff_delta","p_value","padj_bh"
"IFNa1",0.128679326477197,0.160633674315684,-0.295987931460191,2.32398123818583e-25,6.97194371455749e-25
"IFNg1",0.137887682107928,0.151070744785291,-0.133570017072344,2.65346598537498e-06,2.65346598537498e-06
"KRAS1",0.0106352149386764,0.000523660431404144,0.179505706998035,2.77329714748475e-10,4.15994572122713e-10
"AID_program1",-0.0274547517090346,-0.0350356555578478,-0.00332963554516718,0.906818938335428,NA
"Prolif1",0.0276535456455247,0.0474538690224838,-0.076772966557558,0.00695209485474934,NA
